Instance Size,vCPU,Memory,Storage,Network ,Bandwith,EBS Bandwidth,1 Year Price, 1 Year PPM ,3 Year Price, 3 Year PPM ,GPUs,CPU Credits Earned / Hr,Network Burst Bandwidth (Gbps)***,Accelerator Peer-to-Peer Bidirectional(Gbps),1080p60 Streams,4Kp60 Streams,GPU Peer to Peer,GPUDirect RDMA,EBS Burst Bandwidth (Mbps),Baseline Performance / vCPU,Logical Processors*,Trainium Accelerators,Inferentia2 Accelerators,Inferentia Accelerators,Qualcomm AI 100 Accelerators,FPGAs,Physical Cores,Cores,Accelerator Memory (GB),U30 Accelerators,Gaudi Accelerators,Accelerator Memory (GB),CPU Credits/hour,NVIDIA T4G Tensor Core GPU,GPU Memory (GiB),Inter-accelerator Interconnect,EFA Network Bandwidth (Gbps),Aggregate Disk Throughput (MiB/s)
Is4gen.medium,1,6,1 x 937 AWS Nitro SSD,,Up to 25,Up to 9.5,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r7iz.large,2,16,EBS-Only,,Up to 12.5,Up to 10,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Im4gn.large,2,8,1 x 937 AWS Nitro SSD,,Up to 25,Up to 9.5,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is4gen.large,2,12,1 x 1875 AWS Nitro SSD,,Up to 25,Up to 9.5,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r7iz.xlarge,4,32,EBS-Only,,Up to 12.5,Up to 10,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g5g.xlarge,4,8,,,Up to 10,Up to 3.5,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,1,16,,,
Im4gn.xlarge,4,16,1 x 1875 AWS Nitro SSD,,Up to 25,Up to 9.5,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is4gen.xlarge,4,24,1 x 3750 AWS Nitro SSD,,Up to 25,Up to 9.5,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3en.xlarge,4,16,2 x 14 HDD,,Up to 25,850,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,500
mac2.metal,8,16,EBS-Only,,10,8,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mac2-m2.metal,8,24,EBS-Only,,10,8,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r7iz.2xlarge,8,64,EBS-Only,,Up to 12.5,Up to 10,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x2iezn.2xlarge,8,256,EBS-Only,,Up to 25,3.17,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g5g.2xlarge,8,16,,,Up to 10,Up to 3.5,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,1,16,,,
trn1.2xl,8,32,1 x 500 NVMe SSD,,Up to 12.5,Up to 20,NA, NA ,NA, NA ,,,,,,,,,,,,1,,,,,,,,,,32,,,,,,
f1.2xlarge,8,122,1 x 470,Up to 10,,,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Im4gn.2xlarge,8,32,1 x 3750 AWS Nitro SSD,,Up to 25,Up to 9.5,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is4gen.2xlarge,8,48,1 x 7500 AWS Nitro SSD,,Up to 25,Up to 9.5,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3en.2xlarge,8,32,4 x 14 HDD,,Up to 25,"1,700",NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000"
mac1.metal,12,32,EBS-Only,,10,8,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mac2-m2pro.metal,12,32,EBS-Only,,10,8,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vt1.3xlarge,12,24,,,3.13,Up to 4.75,NA, NA ,NA, NA ,,,,,8,2,,,,,,,,,,,,,,1,,,,,,,,
r7iz.4xlarge,16,128,EBS-Only,,Up to 12.5,Up to 10,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x2iezn.4xlarge,16,512,EBS-Only,,Up to 25,4.75,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g5g.4xlarge,16,32,,,Up to 10,Up to 3.5,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,1,16,,,
f1.4xlarge,16,244,1 x 940,Up to 10,,,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
Im4gn.4xlarge,16,64,1 x 7500 AWS Nitro SSD,,25,9.5,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is4gen.4xlarge,16,96,2 x 7500 AWS Nitro SSD,,25,9.5,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3en.4xlarge,16,64,8 x 14 HDD,,25,"2,800",NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,000"
x2iezn.6xlarge,24,768,EBS-Only,,50,9.5,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vt1.6xlarge,24,48,,,6.25,4.75,NA, NA ,NA, NA ,,,,,16,4,,,,,,,,,,,,,,2,,,,,,,,
d3en.6xlarge,24,96,12 x 14 HDD,,40,"4,000",NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,100"
r7iz.8xlarge,32,256,EBS-Only,,12.5,10,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x2iezn.8xlarge,32,"1,024",EBS-Only,,75,12,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g5g.8xlarge,32,64,,,12,9,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,1,16,,,
Im4gn.8xlarge,32,128,2 x 7500 AWS Nitro SSD,,50,19,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is4gen.8xlarge,32,192,4 x 7500 AWS Nitro SSD,,50,19,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3en.8xlarge,32,128,16 x 14 HDD,,50,"5,000",NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,100"
r7iz.12xlarge,48,384,EBS-Only,,25,19,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x2iezn.12xlarge,48,"1,536",EBS-Only,,100,19,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x2iezn.metal,48,"1,536",EBS-Only,,100,19,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3en.12xlarge,48,192,24 x 14 HDD,,75,"7,000",NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,200"
r7iz.16xlarge,64,512,EBS-Only,,25,20,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r7iz.metal-16xl,64,512,EBS-Only,,25,20,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g5g.16xlarge,64,128,,,25,19,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,2,32,,,
g5g.metal,64,128,,,25,19,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,2,32,,,
f1.16xlarge,64,976,4 x 940,25,,,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,8,,,,,,,,,,,,
Im4gn.16xlarge,64,256,4 x 7500 AWS Nitro SSD,,100,38,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p4de.24xlarge(In preview),96,1152,8 x 1000 NVMe SSD,,400 ENA and EFA,19,NA, NA ,NA, NA ,8,,,,,,600 GB/s NVSwitch,Yes,,,,,,,,,,,,,,,,,640 GB HBM2e,,,
p3dn.24xlarge,96,768,2 x 900 NVMe SSD,100,NVLink,19,NA, NA ,NA, NA ,8,,,,,,,,,,,,,,,,,,,,,,,,256,,,
dl1.24xlarge,96,768,4 x 1000 NVMe SSD,,400,19,NA, NA ,NA, NA ,,,,100,,,,,,,,,,,,,,,,,8,,,,,,,
dl2q.24xlarge,96,768,EBS Only,,100,19,NA, NA ,NA, NA ,,,,,,,,,,,,,,,8,,,,128,,,,,,,No,,
vt1.24xlarge,96,192,,,25,19,NA, NA ,NA, NA ,,,,,64,16,,,,,,,,,,,,,,8,,,,,,,,
r7iz.32xlarge,128,"1,024",EBS-Only,,50,40,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r7iz.metal-32xl,128,"1,024",EBS-Only,,50,40,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trn1.32xl,128,512,4 x 2000 NVMe SSD,,800,80,NA, NA ,NA, NA ,,,,,,,,,,,,16,,,,,,,,,,512,,,,,,
trn1n32.xl,128,512,4 x 2000 NVMe SSD,,1600,80,NA, NA ,NA, NA ,,,,,,,,,,,,16,,,,,,,,,,512,,,,,,
u-6tb1.metal**,,"6,144",EBS-Only,,100,38,NA, NA ,NA, NA ,,,,,,,,,,,448,,,,,,,,,,,,,,,,,
u-9tb1.112xlarge,,"9,216",EBS-Only,,100,38,NA, NA ,NA, NA ,,,,,,,,,,,448,,,,,,,,,,,,,,,,,
u-9tb1.metal**,,"9,216",EBS-Only,,100,38,NA, NA ,NA, NA ,,,,,,,,,,,448,,,,,,,,,,,,,,,,,
u-12tb1.metal**,,"12,288",EBS-Only,,100,38,NA, NA ,NA, NA ,,,,,,,,,,,448,,,,,,,,,,,,,,,,,
